Tree	-lnL
518	6299.57291243
519	6295.33564897
520	6299.68628574
521	6299.03856120
522	6298.32588521
523	6298.19455886
524	6295.72865127
525	6289.08507812
526	6310.27496314
527	6304.23944111
528	6291.47828527
529	6301.43257576
530	6308.93452809
531	6294.98867433
532	6297.34741423
533	6302.33255377
534	6306.59677412
535	6315.30124342
536	6296.27885437
537	6289.50306845
538	6298.50182322
539	6289.11384177
540	6287.83981935
541	6304.65024982
542	6287.15868330
543	6293.75464095
544	6295.74749923
545	6297.02684976
546	6295.81473569
547	6299.57296338
548	6303.91192334
549	6301.82191040
550	6294.41743787
551	6293.55369063
552	6302.12774230
553	6303.68433994
554	6298.86195326
555	6295.51097529
556	6287.17573668
557	6300.40725027
558	6299.04611620
559	6291.25233915
560	6301.28171671
561	6309.97986009
562	6301.77296706
563	6306.05650327
564	6302.89046668
565	6300.71210568
566	6313.10140526
567	6301.79630697
568	6293.78707990
569	6291.47280121
570	6300.53215472
571	6290.24915130
572	6296.34272980
573	6291.48986139
574	6297.86145986
575	6291.42448486
576	6295.08411082
577	6301.22682731
578	6311.41552389
579	6304.73556533
580	6294.07801763
581	6290.80602626
582	6304.32201464
583	6294.15897371
584	6297.96741797
585	6289.02808372
586	6316.28703180
587	6292.75372448
588	6302.10209452
589	6294.30117108
590	6303.97772696
591	6296.08789791
592	6296.49931725
593	6308.47540454
594	6295.32204557
595	6297.17529848
596	6296.56279341
597	6300.09317649
598	6296.36615219
599	6296.22868709
600	6300.72626113
601	6295.07700930
602	6305.23217245
603	6293.31554914
604	6297.43268325
605	6292.25301151
606	6295.07282233
607	6289.29221649
608	6304.20782566
609	6302.20097598
610	6307.57503484
611	6298.78191148
612	6297.49528855
613	6286.35048085
614	6288.65797964
615	6291.11875380
616	6292.90004520
617	6310.50786336
618	6298.50429381
619	6291.96723599
620	6306.11191576
621	6295.00519251
622	6294.94350499
623	6302.48697862
624	6293.65271666
625	6301.77354760
626	6293.16166274
627	6298.15947190
628	6292.08433038
629	6309.98051191
630	6294.65655247
631	6294.82405611
632	6291.30288053
633	6306.14520911
634	6296.79068232
635	6295.28868721
636	6301.57217139
637	6303.13303527
638	6296.91454042
639	6302.09823818
640	6299.47073692
641	6295.72124310
642	6289.88302105
643	6287.74223377
644	6300.77161418
645	6290.22822773
646	6296.22578035
647	6292.94016013
648	6293.27207572
649	6292.85568068
650	6293.94033618
651	6293.61579772
652	6289.62687425
653	6293.02168000
654	6290.31349483
655	6290.75884357
656	6296.66940569
657	6300.81732310
658	6289.28475886
659	6301.83502151
660	6295.32148129
661	6296.94119744
662	6301.55679923
663	6298.21703874
664	6291.88640390
665	6293.26738537
666	6298.03152385
667	6299.95463972
668	6295.64082548
669	6290.47402106
670	6298.62172366
671	6298.10694524
672	6303.19956998
673	6293.91920532
674	6291.74113603
675	6299.33347493
676	6292.39790469
677	6302.93050343
678	6298.35053935
679	6305.38159152
680	6297.32007210
681	6289.05430696
682	6298.48558354
683	6301.42891487
684	6288.85781045
685	6302.73991169
686	6291.21384412
687	6295.92669737
688	6297.66122035
689	6298.57511936
690	6295.87329972
691	6291.36069083
692	6297.63443964
693	6300.43088023
694	6301.06636245
695	6303.82375031
696	6291.31117784
697	6299.62165869
698	6296.06934451
699	6311.20716362
700	6309.91293607
701	6290.10840408
702	6306.65042059
703	6288.55420197
704	6294.94860501
705	6294.22540145
706	6289.44242743
707	6288.03988961
708	6291.50315931
709	6301.83475097
710	6286.47905157
711	6291.28759534
712	6296.91210214
713	6299.92423803
714	6296.58938675
715	6295.48896759
716	6289.23292655
717	6287.30255798
718	6306.92915615
719	6299.08201447
720	6303.29028216
721	6302.13925340
722	6295.80782377
723	6292.64418454
724	6300.27936993
725	6298.84476588
726	6305.36018836
727	6297.63711847
728	6298.86786563
729	6311.82186016
730	6311.17997946
731	6288.95697400
732	6298.08204367
733	6296.99562327
734	6290.57038580
735	6290.50014121
736	6291.30920853
737	6305.75987530
738	6289.94596780
739	6293.97125557
